Transaction ID,Customer ID,Product ID,Quantity,Price per Unit,Age,Gender,Location,Income Group,Product Name,Product Category,Month,Day of Week,Price Range,Age Group,Season,Is Holiday,Customer Segment,Product Return Rate,Location_Chicago,Location_Houston,Location_Los Angeles,Location_New York,Total Sales,Price_Quantity
416,1,22,2,674.71,56.0,0,0,0,7,3,2,5,0,0,3,False,New,0.02,1,0,0,0,1349.42,1349.42
274,40,42,3,403.41,69.0,1,2,1,4,2,10,3,2,1,0,False,New,0.05,0,0,1,0,1210.23,1210.23
694,107,24,1,55.6,36.0,1,3,2,6,0,1,1,1,0,3,False,New,0.05,0,0,0,1,55.6,55.6
1445,328,10,1,889.65,28.0,1,0,2,3,1,5,4,0,0,1,False,Regular,0.02,1,0,0,0,889.65,889.65
1856,58,38,3,86.37,42.0,2,4,3,9,3,7,5,1,1,2,False,New,0.02,0,0,0,0,259.11,259.11
251,16,39,3,365.66,41.0,0,2,0,6,0,9,0,2,0,0,False,New,0.05,0,0,1,0,1096.98,1096.98
414,98,49,2,734.64,58.0,1,3,1,3,1,2,3,0,0,3,False,New,0.02,0,0,0,1,1469.28,1469.28
583,297,44,3,231.03,39.0,1,3,0,6,0,1,6,1,0,3,False,Regular,0.02,0,0,0,1,693.09,693.09
1891,1523,9,3,490.64,48.0,0,2,2,8,2,8,5,2,0,2,False,Premium,0.05,0,0,1,0,1471.92,1471.92
924,463,30,4,524.99,44.0,0,2,0,2,0,12,1,2,0,3,False,Regular,0.05,0,0,1,0,2099.96,2099.96
311,92,45,1,670.3,35.0,1,0,1,3,1,11,5,0,0,0,False,New,0.05,1,0,0,0,670.3,670.3
382,77,25,3,720.46,61.0,1,0,1,4,2,1,6,0,0,3,False,New,0.02,1,0,0,0,2161.38,2161.38
465,79,7,1,198.42,27.0,1,0,1,7,3,4,5,1,0,1,False,New,0.02,1,0,0,0,198.42,198.42
426,53,19,3,186.66,26.0,1,0,0,8,2,3,0,1,0,1,False,New,0.02,1,0,0,0,559.98,559.98
495,10,18,4,790.02,42.0,2,1,2,6,0,5,4,0,1,1,False,New,0.05,0,1,0,0,3160.08,3160.08
1858,297,28,2,659.07,42.0,2,4,3,6,0,7,4,0,1,2,False,Regular,0.02,0,0,0,0,1318.14,1318.14
1354,476,36,2,727.14,58.0,1,1,0,5,1,2,4,0,0,3,False,Regular,0.05,0,1,0,0,1454.28,1454.28
1316,294,11,3,784.11,42.0,2,4,3,3,1,1,1,0,1,3,True,Regular,0.02,0,0,0,0,2352.33,2352.33
409,59,49,1,906.83,42.0,2,1,1,3,1,2,5,0,1,3,False,New,0.02,0,1,0,0,906.83,906.83
1551,377,1,1,519.31,54.0,1,2,1,4,2,9,0,2,0,0,False,Regular,0.02,0,0,1,0,519.31,519.31
1713,1214,32,3,352.65,42.0,2,3,1,0,3,2,2,2,1,3,False,Premium,0.02,0,0,0,1,1057.9499999999998,1057.9499999999998
1866,834,33,1,294.84,28.0,0,1,1,4,2,7,0,1,0,2,False,Premium,0.05,0,1,0,0,294.84,294.84
942,201,36,4,972.36,42.0,2,4,3,5,1,1,0,0,1,3,False,Regular,0.05,0,0,0,0,3889.44,3889.44
618,175,45,2,283.47,44.0,1,3,2,3,1,1,4,1,0,3,False,Regular,0.05,0,0,0,1,566.94,566.94
611,267,17,4,779.16,25.0,1,0,1,4,2,1,4,0,0,3,False,Regular,0.02,1,0,0,0,3116.64,3116.64
183,8,38,3,338.99,56.0,1,1,1,9,3,7,3,2,0,2,False,New,0.02,0,1,0,0,1016.97,1016.97
1405,653,10,3,613.94,20.0,0,3,0,3,1,4,2,0,2,1,False,Regular,0.02,0,0,0,1,1841.82,1841.8200000000002
171,43,26,1,653.79,42.0,2,1,1,3,1,6,5,0,1,2,False,New,0.02,0,1,0,0,653.79,653.79
293,36,5,2,164.6,32.0,0,1,2,6,0,10,0,1,0,0,False,New,0.02,0,1,0,0,329.2,329.2
531,143,3,3,871.07,22.0,1,1,0,6,0,1,1,0,2,3,True,Regular,0.05,0,1,0,0,2613.21,2613.21
1741,606,47,1,459.67,64.0,1,1,0,3,1,3,2,2,0,1,False,Regular,0.02,0,1,0,0,459.67,459.67
301,74,45,1,251.71,46.0,0,0,1,3,1,10,2,1,0,0,False,New,0.05,1,0,0,0,251.71,251.71
1824,313,49,4,333.62,54.0,0,0,1,3,1,6,0,2,0,2,False,Regular,0.02,1,0,0,0,1334.48,1334.48
528,213,5,2,421.64,29.0,1,1,0,6,0,1,1,2,0,3,True,Regular,0.02,0,1,0,0,843.28,843.28
1608,259,36,1,683.76,42.0,2,4,3,5,1,11,2,0,1,0,False,Regular,0.05,0,0,0,0,683.76,683.76
1736,922,24,2,12.88,52.0,1,2,1,6,0,3,1,1,0,1,False,Premium,0.05,0,0,1,0,25.76,25.76
1877,702,45,1,905.91,49.0,0,0,2,3,1,8,5,0,0,2,False,Regular,0.05,1,0,0,0,905.91,905.91
273,13,8,2,691.33,41.0,1,3,1,6,0,9,2,0,0,0,False,New,0.02,0,0,0,1,1382.66,1382.66
1115,1148,7,3,419.6,39.0,1,3,1,7,3,7,6,2,0,2,False,Premium,0.02,0,0,0,1,1258.8,1258.8000000000002
1233,795,18,1,732.47,37.0,0,0,2,6,0,10,5,0,0,0,False,Premium,0.05,1,0,0,0,732.47,732.47
1119,195,26,3,213.17,42.0,2,4,3,3,1,7,3,1,1,2,False,Regular,0.02,0,0,0,0,639.51,639.51
423,95,13,1,870.57,43.0,1,3,1,8,2,2,5,0,0,3,False,New,0.02,0,0,0,1,870.57,870.57
372,92,40,1,484.39,35.0,1,0,1,1,2,1,3,2,0,3,False,New,0.02,1,0,0,0,484.39,484.39
1402,987,35,1,487.47,42.0,0,3,0,7,3,4,6,2,0,1,False,Premium,0.02,0,0,0,1,487.47,487.47
1053,685,34,2,869.52,30.0,1,1,1,3,1,5,4,0,0,1,False,Regular,0.02,0,1,0,0,1739.04,1739.04
693,265,41,3,806.71,42.0,2,1,1,6,0,1,1,0,1,3,False,Regular,0.02,0,1,0,0,2420.13,2420.13
989,1425,34,2,513.8,67.0,1,2,1,3,1,2,6,2,1,3,False,Premium,0.02,0,0,1,0,1027.6,1027.6
655,121,47,2,531.96,68.0,0,2,0,3,1,1,2,2,1,3,False,New,0.02,0,0,1,0,1063.92,1063.92
176,95,20,3,746.84,43.0,1,3,1,6,0,6,3,0,0,2,False,New,0.02,0,0,0,1,2240.52,2240.52
744,1495,18,2,765.52,54.0,1,2,2,6,0,6,6,0,0,2,False,Premium,0.05,0,0,1,0,1531.04,1531.04
1547,920,30,2,589.75,58.0,0,2,2,2,0,9,1,2,0,0,True,Premium,0.05,0,0,1,0,1179.5,1179.5
1074,1388,43,1,635.8,41.0,1,0,2,6,0,5,4,0,0,1,False,Premium,0.02,1,0,0,0,635.8,635.8
1305,1046,26,3,771.42,68.0,1,3,2,3,1,1,4,0,1,3,False,Premium,0.02,0,0,0,1,2314.26,2314.2599999999998
335,85,13,1,633.91,25.0,1,1,1,8,2,12,0,0,0,3,False,New,0.02,0,1,0,0,633.91,633.91
870,1016,36,3,732.62,42.0,2,3,2,5,1,10,6,0,1,0,False,Premium,0.05,0,0,0,1,2197.86,2197.86
1289,1180,25,2,913.47,42.0,2,0,0,4,2,12,5,0,1,3,False,Premium,0.02,1,0,0,0,1826.94,1826.94
1134,831,26,1,393.37,50.0,0,0,2,3,1,7,1,2,0,2,False,Premium,0.02,1,0,0,0,393.37,393.37
1238,1340,29,2,240.28,21.0,1,2,0,7,3,11,3,1,2,0,False,Premium,0.02,0,0,1,0,480.56,480.56
1030,924,22,3,85.96,39.0,1,2,0,7,3,4,5,1,0,1,False,Premium,0.02,0,0,1,0,257.88,257.88
994,849,42,1,111.47,44.0,1,2,2,4,2,3,1,1,0,1,False,Premium,0.05,0,0,1,0,111.47,111.47
1188,288,22,2,633.57,42.0,2,4,3,7,3,9,2,0,1,0,False,Regular,0.02,0,0,0,0,1267.14,1267.14
573,172,22,3,858.56,38.0,0,2,2,7,3,1,6,0,0,3,False,Regular,0.02,0,0,1,0,2575.68,2575.68
199,73,13,1,509.8,21.0,1,3,0,8,2,7,5,2,2,2,False,New,0.02,0,0,0,1,509.8,509.8
16,9,16,2,560.62,36.0,1,1,1,6,0,1,1,2,0,3,True,New,0.02,0,1,0,0,1121.24,1121.24
266,76,40,4,61.18,43.0,1,1,2,1,2,9,2,1,0,0,False,New,0.02,0,1,0,0,244.72,244.72
901,751,2,1,12.16,18.0,1,3,2,3,1,11,2,1,2,0,False,Premium,0.02,0,0,0,1,12.16,12.16
1165,1074,17,4,238.09,31.0,0,3,1,4,2,8,4,1,0,2,False,Premium,0.02,0,0,0,1,952.36,952.36
939,792,2,1,13.92,19.0,0,3,2,3,1,1,5,1,2,3,False,Premium,0.02,0,0,0,1,13.92,13.92
545,109,42,2,583.38,49.0,1,2,1,4,2,1,1,2,0,3,True,New,0.05,0,0,1,0,1166.76,1166.76
1640,429,37,1,167.34,33.0,0,2,1,6,0,12,6,1,0,3,False,Regular,0.02,0,0,1,0,167.34,167.34
860,163,18,1,727.54,42.0,2,4,3,6,0,10,3,0,1,0,False,Regular,0.05,0,0,0,0,727.54,727.54
1379,193,7,4,874.58,42.0,2,4,3,7,3,3,1,0,1,1,False,Regular,0.02,0,0,0,0,3498.32,3498.32
1883,491,34,3,962.27,43.0,1,3,0,3,1,8,1,0,0,2,False,Regular,0.02,0,0,0,1,2886.81,2886.81
1281,1410,7,1,640.45,60.0,1,1,1,7,3,12,1,0,0,3,False,Premium,0.02,0,1,0,0,640.45,640.45
1478,367,17,1,516.23,18.0,0,1,1,4,2,6,5,2,2,2,False,Regular,0.02,0,1,0,0,516.23,516.23
466,85,29,4,61.82,25.0,1,1,1,7,3,4,6,1,0,1,False,New,0.02,0,1,0,0,247.28,247.28
533,224,45,2,651.24,24.0,1,2,1,3,1,1,1,0,2,3,True,Regular,0.05,0,0,1,0,1302.48,1302.48
200,24,40,3,547.87,19.0,1,3,0,1,2,7,6,2,2,2,False,New,0.02,0,0,0,1,1643.61,1643.6100000000001
875,570,13,4,570.85,53.0,0,0,2,8,2,11,1,2,0,0,False,Regular,0.02,1,0,0,0,2283.4,2283.4
1651,925,46,3,81.67,67.0,1,2,0,6,0,12,3,1,1,3,False,Premium,0.02,0,0,1,0,245.01,245.01
1222,531,29,4,856.13,36.0,0,1,2,7,3,10,0,0,0,0,False,Regular,0.02,0,1,0,0,3424.52,3424.52
1028,30,30,2,710.68,42.0,2,4,3,2,0,4,3,0,1,1,False,New,0.05,0,0,0,0,1421.36,1421.36
1413,1067,17,4,800.5,21.0,1,3,1,4,2,4,3,0,2,1,False,Premium,0.02,0,0,0,1,3202.0,3202.0
1422,137,13,1,22.45,42.0,2,4,3,8,2,5,5,1,1,1,False,New,0.02,0,0,0,0,22.45,22.45
1386,1350,37,4,53.0,42.0,2,3,0,6,0,3,1,1,1,1,False,Premium,0.02,0,0,0,1,212.0,212.0
846,678,48,3,850.97,48.0,0,0,0,7,3,10,3,0,0,0,False,Regular,0.05,1,0,0,0,2552.91,2552.91
1360,251,46,2,414.66,42.0,2,4,3,6,0,3,6,2,1,1,False,Regular,0.02,0,0,0,0,829.32,829.32
1705,937,42,1,708.7,51.0,0,1,0,4,2,2,0,0,0,3,False,Premium,0.05,0,1,0,0,708.7,708.7
1721,179,42,2,712.04,42.0,2,4,3,4,2,2,3,0,1,3,False,Regular,0.05,0,0,0,0,1424.08,1424.08
731,1307,20,4,918.37,58.0,0,2,0,6,0,6,4,0,0,2,False,Premium,0.02,0,0,1,0,3673.48,3673.48
44,32,34,2,83.95,42.0,2,1,1,3,1,2,1,1,1,3,False,New,0.02,0,1,0,0,167.9,167.9
275,42,15,3,485.1,54.0,1,3,1,4,2,10,1,2,0,0,False,New,0.05,0,0,0,1,1455.3,1455.3000000000002
102,16,13,1,11.22,41.0,1,2,0,8,2,4,6,1,0,1,False,New,0.02,0,0,1,0,11.22,11.22
820,1462,29,3,44.3,19.0,0,2,0,7,3,9,5,1,2,0,False,Premium,0.02,0,0,1,0,132.9,132.89999999999998
995,809,7,3,540.11,68.0,1,2,2,7,3,3,5,2,1,1,False,Premium,0.02,0,0,1,0,1620.33,1620.33
905,419,25,2,102.7,54.0,0,0,0,4,2,12,6,1,0,3,False,Regular,0.02,1,0,0,0,205.4,205.4
108,93,41,2,169.22,64.0,1,2,1,6,0,4,5,1,0,1,False,New,0.02,0,0,1,0,338.44,338.44
652,252,27,2,677.61,42.0,2,3,2,6,0,1,2,0,1,3,False,Regular,0.05,0,0,0,1,1355.22,1355.22
498,74,7,3,511.77,46.0,0,0,1,7,3,5,3,2,0,1,False,New,0.02,1,0,0,0,1535.31,1535.31
1925,1412,29,3,110.15,69.0,1,3,1,7,3,9,1,1,1,0,False,Premium,0.02,0,0,0,1,330.45,330.45000000000005
833,278,7,3,606.82,42.0,2,4,3,7,3,9,1,0,1,0,False,Regular,0.02,0,0,0,0,1820.46,1820.46
1306,206,26,1,902.89,42.0,2,4,3,3,1,1,0,0,1,3,False,Regular,0.02,0,0,0,0,902.89,902.89
586,191,11,1,572.41,26.0,0,1,2,3,1,1,6,2,0,3,False,Regular,0.02,0,1,0,0,572.41,572.41
1075,491,17,2,508.48,43.0,1,3,0,4,2,5,0,2,0,1,False,Regular,0.02,0,0,0,1,1016.96,1016.96
1709,134,34,3,398.08,42.0,2,4,3,3,1,2,5,2,1,3,False,New,0.02,0,0,0,0,1194.24,1194.24
979,457,49,3,667.78,63.0,0,2,1,3,1,2,3,0,0,3,False,Regular,0.02,0,0,1,0,2003.34,2003.34
1698,1393,4,4,804.18,42.0,2,3,0,7,3,2,0,0,1,3,False,Premium,0.02,0,0,0,1,3216.72,3216.72
73,47,24,2,733.96,56.0,1,1,0,6,0,3,5,0,0,1,False,New,0.05,0,1,0,0,1467.92,1467.92
941,159,43,2,389.93,42.0,2,4,3,6,0,1,4,2,1,3,False,Regular,0.02,0,0,0,0,779.86,779.86
1820,1182,14,2,691.52,62.0,0,1,2,9,3,6,1,0,0,2,False,Premium,0.02,0,1,0,0,1383.04,1383.04
1135,1188,35,3,786.56,53.0,1,2,1,7,3,7,5,0,0,2,False,Premium,0.02,0,0,1,0,2359.68,2359.68
597,168,36,3,900.46,58.0,1,0,1,5,1,1,4,0,0,3,False,Regular,0.05,1,0,0,0,2701.38,2701.38
482,63,32,4,307.84,52.0,0,0,0,0,3,4,0,2,0,1,False,New,0.02,1,0,0,0,1231.36,1231.36
1377,528,37,3,286.35,36.0,1,2,0,6,0,3,2,1,0,1,False,Regular,0.02,0,0,1,0,859.05,859.0500000000001
507,106,35,2,190.98,62.0,0,1,0,7,3,1,3,1,0,3,False,New,0.02,0,1,0,0,381.96,381.96
722,1097,23,3,737.68,57.0,0,0,1,4,2,6,5,0,0,2,False,Premium,0.02,1,0,0,0,2213.04,2213.04
1274,1063,3,1,125.52,56.0,0,2,2,6,0,12,1,1,0,3,False,Premium,0.05,0,0,1,0,125.52,125.52
1934,623,12,3,550.93,46.0,0,0,1,3,1,9,6,2,0,0,False,Regular,0.05,1,0,0,0,1652.79,1652.79
702,900,9,4,670.66,31.0,1,3,1,8,2,5,6,0,0,1,False,Premium,0.05,0,0,0,1,2682.64,2682.64
789,138,24,1,335.47,42.0,2,4,3,6,0,8,2,2,1,2,False,New,0.05,0,0,0,0,335.47,335.47
1348,43,20,3,234.47,42.0,2,4,3,6,0,2,0,1,1,3,False,New,0.02,0,0,0,0,703.41,703.41
312,72,2,2,581.41,59.0,0,1,0,3,1,11,6,2,0,0,False,New,0.02,0,1,0,0,1162.82,1162.82
1282,569,46,3,975.02,60.0,0,1,1,6,0,12,5,0,0,3,False,Regular,0.02,0,1,0,0,2925.06,2925.06
406,63,28,3,650.14,52.0,1,0,0,6,0,2,2,0,0,3,False,New,0.02,1,0,0,0,1950.42,1950.42
1327,1486,14,2,312.65,46.0,0,2,0,9,3,1,0,2,0,3,False,Premium,0.02,0,0,1,0,625.3,625.3
1111,400,23,4,960.62,60.0,0,0,0,4,2,6,2,0,0,2,False,Regular,0.02,1,0,0,0,3842.48,3842.48
310,20,12,4,828.57,41.0,1,0,0,3,1,11,1,0,0,0,False,New,0.05,1,0,0,0,3314.28,3314.28
227,19,40,4,596.99,19.0,1,2,0,1,2,8,5,2,2,2,False,New,0.02,0,0,1,0,2387.96,2387.96
1653,1411,13,1,883.41,46.0,0,1,2,8,2,12,5,0,0,3,False,Premium,0.02,0,1,0,0,883.41,883.41
1133,838,29,2,732.83,55.0,1,0,0,7,3,7,3,0,0,2,False,Premium,0.02,1,0,0,0,1465.66,1465.66
1488,798,24,1,431.86,59.0,0,1,2,6,0,7,0,2,0,2,False,Premium,0.05,0,1,0,0,431.86,431.86
783,661,27,1,692.69,66.0,0,2,1,6,0,8,3,0,1,2,False,Regular,0.05,0,0,1,0,692.69,692.69
788,1266,6,4,675.64,37.0,1,1,2,3,1,8,0,0,0,2,False,Premium,0.05,0,1,0,0,2702.56,2702.56
149,24,24,3,132.98,19.0,0,3,0,6,0,5,1,1,2,1,True,New,0.05,0,0,0,1,398.94,398.93999999999994
591,277,24,1,551.49,57.0,1,2,1,6,0,1,6,2,0,3,False,Regular,0.05,0,0,1,0,551.49,551.49
678,123,31,3,398.87,52.0,1,3,1,6,0,1,3,2,0,3,False,New,0.02,0,0,0,1,1196.61,1196.6100000000001
1794,294,19,4,528.91,42.0,2,4,3,8,2,5,6,2,1,1,False,Regular,0.02,0,0,0,0,2115.64,2115.64
775,625,28,2,561.87,21.0,0,1,2,6,0,7,2,2,2,2,False,Regular,0.02,0,1,0,0,1123.74,1123.74
1376,54,43,1,794.77,42.0,2,4,3,6,0,3,0,0,1,1,False,New,0.02,0,0,0,0,794.77,794.77
558,139,13,4,949.36,45.0,1,2,1,8,2,1,5,0,0,3,False,New,0.02,0,0,1,0,3797.44,3797.44
716,802,2,1,273.57,42.0,1,0,1,3,1,5,6,1,0,1,False,Premium,0.02,1,0,0,0,273.57,273.57
1162,1033,30,2,604.6,18.0,1,3,0,2,0,8,1,0,2,2,False,Premium,0.05,0,0,0,1,1209.2,1209.2
1563,942,29,1,513.09,20.0,1,0,0,7,3,9,6,2,2,0,False,Premium,0.02,1,0,0,0,513.09,513.09
1129,1335,23,1,145.93,46.0,1,1,1,4,2,7,6,1,0,2,False,Premium,0.02,0,1,0,0,145.93,145.93
910,381,22,4,526.49,65.0,1,1,0,7,3,12,1,2,1,3,False,Regular,0.02,0,1,0,0,2105.96,2105.96
287,86,27,1,152.11,31.0,1,0,2,6,0,10,2,1,0,0,False,New,0.05,1,0,0,0,152.11,152.11
1562,304,19,4,116.17,19.0,0,1,2,8,2,9,5,1,2,0,False,Regular,0.02,0,1,0,0,464.68,464.68
1582,1114,24,3,292.06,23.0,1,0,2,6,0,10,1,1,2,0,True,Premium,0.05,1,0,0,0,876.18,876.1800000000001
987,1130,23,2,545.79,58.0,0,2,1,4,2,2,1,2,0,3,False,Premium,0.02,0,0,1,0,1091.58,1091.58
1594,155,10,2,115.22,42.0,2,4,3,3,1,10,2,1,1,0,False,Regular,0.02,0,0,0,0,230.44,230.44
1545,291,18,4,673.74,42.0,2,4,3,6,0,9,2,0,1,0,False,Regular,0.05,0,0,0,0,2694.96,2694.96
1006,973,21,3,378.01,29.0,0,0,0,4,2,3,2,2,0,1,False,Premium,0.05,1,0,0,0,1134.03,1134.03
1544,189,19,1,115.03,42.0,2,4,3,8,2,9,0,1,1,0,False,Regular,0.02,0,0,0,0,115.03,115.03
765,878,7,2,345.23,35.0,0,1,0,7,3,7,6,2,0,2,False,Premium,0.02,0,1,0,0,690.46,690.46
1682,334,40,2,299.59,65.0,1,2,1,1,2,1,6,1,1,3,False,Regular,0.02,0,0,1,0,599.18,599.18
1420,1101,4,2,226.09,34.0,1,1,1,7,3,5,3,1,0,1,False,Premium,0.02,0,1,0,0,452.18,452.18
1011,1340,12,2,171.98,21.0,1,2,0,3,1,3,4,1,2,1,False,Premium,0.05,0,0,1,0,343.96,343.96
1317,195,2,4,203.41,42.0,2,4,3,3,1,1,5,1,1,3,False,Regular,0.02,0,0,0,0,813.64,813.64
1746,850,24,3,864.33,45.0,1,3,1,6,0,3,4,0,0,1,False,Premium,0.05,0,0,0,1,2592.99,2592.9900000000002
757,628,25,1,479.8,67.0,1,2,1,4,2,7,5,2,1,2,False,Regular,0.02,0,0,1,0,479.8,479.8
1382,1135,15,2,575.62,19.0,1,1,0,4,2,3,4,2,2,1,False,Premium,0.05,0,1,0,0,1151.24,1151.24
1125,1045,5,1,737.9,60.0,0,1,0,6,0,7,2,0,0,2,False,Premium,0.02,0,1,0,0,737.9,737.9
494,4,48,4,264.48,32.0,0,1,2,7,3,5,6,1,0,1,False,New,0.05,0,1,0,0,1057.92,1057.92
1520,1465,34,3,669.86,24.0,1,3,1,3,1,8,5,0,2,2,False,Premium,0.02,0,0,0,1,2009.58,2009.58
278,27,33,3,329.9,29.0,1,3,2,4,2,10,4,2,0,0,False,New,0.05,0,0,0,1,989.7,989.6999999999999
1853,1425,46,2,629.84,42.0,2,2,1,6,0,7,2,0,1,2,False,Premium,0.02,0,0,1,0,1259.68,1259.68
359,72,41,1,400.42,59.0,1,1,0,6,0,12,1,2,0,3,True,New,0.02,0,1,0,0,400.42,400.42
1079,298,7,3,200.76,42.0,2,4,3,7,3,5,5,1,1,1,False,Regular,0.02,0,0,0,0,602.28,602.28
237,78,21,3,602.73,51.0,1,1,2,4,2,8,0,0,0,2,False,New,0.05,0,1,0,0,1808.19,1808.19
552,121,6,1,108.87,68.0,0,2,0,3,1,1,5,1,1,3,False,New,0.05,0,0,1,0,108.87,108.87
1817,939,28,4,726.75,20.0,0,0,1,6,0,6,0,0,2,2,False,Premium,0.02,1,0,0,0,2907.0,2907.0
1084,1498,45,4,585.64,68.0,0,1,2,3,1,6,3,2,1,2,False,Premium,0.05,0,1,0,0,2342.56,2342.56
209,23,15,1,992.21,55.0,0,3,1,4,2,7,0,0,0,2,False,New,0.05,0,0,0,1,992.21,992.21
1346,206,2,3,413.01,42.0,2,4,3,3,1,2,6,2,1,3,False,Regular,0.02,0,0,0,0,1239.03,1239.03
